item_id,restaurant_id,item_name,item_description,category,is_veg,spice_level,price,popularity_score,historical_attach_rate,normalized_category,dish_subtype,meal_time_suitability,confidence,source
1,1,Mutton Seekh Kebab 1 Ltr,,main,0,medium,249.0,0.7095,0.153,main,other,lunch|dinner,1.0,original
2,1,Veg Dum Biryani (Medium),,main,1,medium,319.0,0.8068,0.135,main,other,lunch|dinner,1.0,original
3,1,Raita (Spicy),,side,0,spicy,99.0,1.0,0.231,side,other,lunch|dinner,1.0,original
4,1,Veg Dum Biryani - Extra Hot (Half),,main,1,spicy,349.0,0.5747,0.316,main,other,lunch|dinner,1.0,original
5,1,Shahi Paneer (Mild),,main,1,mild,338.0,1.0,0.173,main,unknown,lunch|dinner,0.0,fallback
6,1,Shahi Tukda,,dessert,1,medium,134.0,0.7095,0.288,dessert,other,lunch|dinner,1.0,original
7,1,Galouti Kebab (Fiery),,main,0,spicy,304.0,0.5747,0.197,main,other,lunch|dinner,1.0,original
8,1,Veg Dum Biryani,,main,1,medium,246.0,0.1903,0.012,main,other,lunch|dinner,1.0,original
9,1,Kesar Milk (Mild),,beverage,1,mild,124.0,0.8068,0.631,beverage,other,lunch|dinner,1.0,original
10,1,Kesar Milk,,beverage,1,mild,134.0,0.6489,0.715,beverage,other,lunch|dinner,1.0,original
11,1,Phirni (Mild),,dessert,0,mild,104.0,0.7095,0.357,dessert,other,lunch|dinner,1.0,original
12,1,Paneer Pasanda - Extra Hot - Chef's Specail,,main,1,spicy,269.0,0.7095,0.285,main,other,lunch|dinner,1.0,original
13,1,Rooh Afza,,beverage,1,mild,132.0,0.4653,0.632,beverage,other,lunch|dinner,1.0,original
14,1,Nawabi Paneer (Fiery) 4 pcs,,main,1,spicy,342.0,0.8068,0.198,main,other,lunch|dinner,1.0,original
15,1,Galouti Kebab (Spicy) (Half),best paired with naan or rice,main,0,spicy,312.0,0.3631,0.24,main,other,lunch|dinner,1.0,original
16,1,Veg Dum Biryani,,main,1,mild,326.0,1.0,0.141,main,other,lunch|dinner,1.0,original
17,1,Paneer Biryani,,main,1,mild,306.0,0.4417,0.093,main,other,lunch|dinner,1.0,original
18,1,Haleem (Mild),"rich smoky gravy, served hot",unknown,0,mild,231.0,1.0,0.136,main,haleem,lunch|dinner|late-night,0.82,rule
19,1,Salan,,side,0,mild,143.0,1.0,0.173,side,other,lunch|dinner,0.82,rule
20,1,Veg Dum Biryani,,main,1,mild,227.0,0.7095,0.104,main,other,lunch|dinner,1.0,original
21,1,Veg Biryani,,main,1,spicy,214.0,0.8068,0.192,main,other,lunch|dinner,1.0,original
22,1,Chicken Dum Biryani - Extra Hot,,main,0,spicy,245.0,1.0,0.226,main,other,lunch|dinner,1.0,original
23,1,Chicken Rezala (Mild),,main,0,mild,315.0,0.2279,0.113,main,other,lunch|dinner,1.0,original
24,1,Double Ka Meetha,,dessert,1,medium,132.0,0.7095,0.3,dessert,other,lunch|dinner,1.0,original
25,1,Warqi Paratha,,side,0,spicy,100.0,1.0,0.16,side,other,lunch|dinner,1.0,original
26,1,Paneer Biryani (Mild),made fresh to order,main,1,mild,297.0,0.6065,0.03,main,other,lunch|dinner,1.0,original
27,1,Kesar Milk 1 Ltr,,beverage,1,mild,79.0,0.8068,0.726,beverage,other,lunch|dinner,1.0,original
28,1,Raita (Mild),,side,0,mild,136.0,1.0,0.236,side,other,lunch|dinner,1.0,original
29,1,Haleem,slow cooked with creamy spices,main,0,medium,206.0,1.0,0.09,main,other,lunch|dinner,1.0,original
30,1,Zarda,,dessert,1,mild,107.0,1.0,0.35,dessert,other,lunch|dinner,1.0,original
31,2,Veg Manchurian (Mild),house recipe  with secret spices,unknown,1,mild,340.0,1.0,0.102,main,other,lunch|dinner,0.82,rule
32,2,Pork Dim Sum - Extra Hot,,main,0,spicy,228.0,1.0,0.29,main,other,lunch|dinner,1.0,original
33,2,Signature  Green Tea (Mild),,beverage,1,mild,97.0,0.8068,0.518,beverage,other,lunch|dinner,1.0,original
34,2,Cold Coffee,,beverage,1,mild,118.0,0.3168,0.496,beverage,other,lunch|dinner,1.0,original
35,2,Veg Soup (Medium),,side,1,medium,157.0,1.0,0.14,main,unknown,lunch|dinner,0.0,fallback
36,2,Veg Manchurian (Mild),,unknown,1,mild,222.0,1.0,0.083,main,other,lunch|dinner,0.82,rule
